row_index,name,value_chain_position,semiconductor_relevance,capabilities,end_markets,india_angle,summary,technical_expertise,status,inferred_field_count,model
0,3D Glass Solutions,OSAT/Packaging,High,Advanced glass substrates for semiconductor packaging | 3D heterogeneous integration (3DHI) | Glass interposer for HPC/AI and photonics,RF/5G | Aerospace & Defense | Photonics | HPC/AI | Sensors,,"3D Glass Solutions specializes in manufacturing advanced glass substrates for semiconductor packaging, addressing thermal, electrical, and dimensional challenges in RF, HPC, and photonic systems. Their solutions include 3D heterogeneous integration and glass interposers, supporting applications in RF subsystems, aerospace, defense, and photonics.",3D heterogeneous integration | Glass interposer technology | High-density interconnects,ok,0,gpt-4o
1,3M INDIA LIMITED,Other,,,,,,,empty-input,0,gpt-4o
2,ABB India Limited,Facility & Infrastructure,Low,UPS systems | Power conditioning equipment | Active voltage conditioners,Power,"ABB India Limited provides power protection solutions in India, focusing on critical power applications.","ABB India Limited offers power protection solutions including UPS systems and power conditioning equipment, which are crucial for maintaining power quality in semiconductor manufacturing facilities. Their products ensure uninterrupted power supply and high power quality, essential for sensitive semiconductor processes.",Power quality management | Uninterruptible power supply systems,ok,0,gpt-4o
3,ABLROOTS INDUSTRIES PVT PTD,Distribution,Medium,Process Gas Filtration | Chemical Filtration and Advanced Lithography | CMP and Ultrapure Water Solutions,Advanced Packaging | Logic,ABL Roots Industries is actively involved in supporting India's semiconductor manufacturing ecosystem through its distribution of Pall Corporation's filtration technologies.,"ABL Roots Industries Pvt Ltd is a distributor of Pall Corporation's filtration, separation, and purification technologies, which are critical for maintaining contamination-free environments in semiconductor manufacturing. They provide solutions that enhance process purity and operational efficiency in advanced semiconductor fabrication.",ultrapure gas delivery | contamination control in lithography | ultrapure water management,ok,0,gpt-4o
4,ABV ENGINEERS AND CONSULTANTS PVT LTD,Other,Low,,,"ABV Engineers & Consultants Pvt Ltd operates in India, focusing on sales and support for various engineering and automation products.","ABV Engineers & Consultants Pvt Ltd is involved in the sales of press safety products, press room automation, and forging machinery, primarily serving industrial sectors. They also engage in trading and installation of engineering products, with a focus on the Indian market.",,ok,0,gpt-4o
5,AC&C Technology Pte Ltd,Materials,High,Mold cleaning rubber sheets | Mold conditioning solutions | Melamine cleaning tablets,Advanced Packaging | Precision Rubber Molding,,"AC&C Technology Pte Ltd specializes in manufacturing mold cleaning and conditioning solutions, including rubber sheets and melamine tablets, for semiconductor encapsulation and precision rubber molding. Their products are designed to improve mold maintenance, enhance release performance, and extend mold life, serving critical roles in advanced packaging and precision molding applications.",Mold maintenance and cleaning technologies | Rubber sheet production,ok,0,gpt-4o
6,Accurex Solutions Pvt. Ltd,OSAT/Packaging,High,Wafer preparation and dicing | Die attach and wire bonding | Electrical testing and failure analysis,Advanced Packaging | Automotive,"Accurex Solutions Pvt. Ltd is an Indian company established in 1987, providing solutions from design to final product with a focus on semiconductor backend processes.","Accurex Solutions Pvt. Ltd specializes in providing advanced backend process solutions for semiconductor manufacturers, covering wafer preparation, dicing, die attach, wire bonding, encapsulation, and testing. They offer a curated lineup of globally trusted technologies to enhance process efficiency and product reliability.",Wafer dicing | Wire bonding | Failure analysis,ok,0,gpt-4o
7,ACM Research Inc.,Equipment,High,single-wafer and batch wet cleaning | electroplating | thermal deposition,IC | compound semiconductors | wafer-level packaging,,"ACM Research Inc. is a leading provider of wafer fabrication equipment, specializing in advanced cleaning, etching, and plating solutions for semiconductor manufacturing. They offer a wide range of products supporting various processing steps, including wet cleaning, electroplating, and thermal processes, catering to high-volume manufacturing needs globally.",wafer-level packaging | megasonic cleaning technology | PECVD,ok,0,gpt-4o
8,Adaptsys Limited,Equipment,Medium,In-line Tape Forming | Device Programming | Tape & Reel Solutions,Automotive | Semiconductor | Electronics,,"Adaptsys Limited specializes in providing equipment solutions for in-line tape forming, device programming, and tape & reel processes. Their flagship product, Re-flex II, offers on-demand carrier tape forming, enhancing production efficiency and reducing storage needs. They cater to various industries, including semiconductors, with a focus on improving production capabilities.",Carrier Tape Management | In-line Tape Forming,ok,0,gpt-4o
9,Addverb Technologies,Other,"None -- the company's primary focus is on warehouse automation and robotics, not directly on semiconductors",,,,"Addverb Technologies is a global robotics company specializing in warehouse automation, focusing on simplifying supply chain and intralogistics operations. Their expertise lies in developing robotic solutions for warehouse efficiency.",,ok,0,gpt-4o
10,Advance Panels & Switchgears P Ltd,Facility & Infrastructure,Low,Medium Voltage Electrical Panels | Low Voltage Panels / Switchboards | Intelligent MCC,Power,"The company has five manufacturing plants in India, including locations in Delhi, Rai-Sonepat, and Haridwar.","Advance Panels & Switchgears P Ltd is a leading manufacturer of electrical panels and switchgear solutions, primarily serving the power and infrastructure sectors. Their expertise lies in the design and manufacture of medium and low voltage panels, with a significant presence in India.",Electrical panel design | Medium voltage systems | IEC 61439 compliance,ok,0,gpt-4o
11,ADVANCED EXPERTISE TECHNOLOGY PVT. LTD.,Chemicals & Gases,Low,Fluoropolymer Coating | Corrosion-resistant Coatings,,"The company is based in India and provides solutions for various industries, including chemicals and pharmaceuticals.","Advanced Expertise Technology Pvt. Ltd. specializes in providing fluoropolymer coating and lining solutions, primarily for industries dealing with corrosive and abrasive products. Their expertise in coatings is applicable to equipment used in chemical processing, which may have indirect relevance to semiconductor manufacturing environments.",Fluoropolymer Coating Technologies,ok,0,gpt-4o
12,ADVANCED SEMICONDUCTOR EQUIPMENT TECHNOLOGY SINGAPORE,Equipment,High,Etch equipment | MOCVD equipment | Micro-fabrication equipment,Logic | Memory,,"Advanced Semiconductor Equipment Technology Singapore (ASETS) is a Singapore-based company specializing in the sales, assembly, and repair of semiconductor equipment. They provide etch and MOCVD equipment, focusing on micro-fabrication solutions that enhance productivity and reduce costs for semiconductor manufacturers globally. ASETS also offers customer demos and process R&D through their lab facilities.",Etching technology | MOCVD processes | Micro-fabrication techniques,ok,0,gpt-4o
13,ADVANCED SYSTEM IN PACKAGE TECHNOLOGIES,OSAT/Packaging,High,Package Design | IC Testing | Bumping,Advanced Packaging,ASIP Technologies is approved by MeitY- India Semiconductor Mission for setting up an OSAT/ATMP facility to serve both India’s growing domestic needs and to provide an alternate supply.,"ASIP Technologies specializes in semiconductor assembly and testing, offering services such as package design, IC testing, and bumping. They are establishing an OSAT/ATMP facility in India to cater to domestic and international markets.",Design For Test (DFT) | Test Development,ok,0,gpt-4o
14,Advantec Materials India Pvt Ltd,Materials,Medium,"Vacuum Standard Parts | Targets, Deposition Materials, and Deposition Sources | Surface Measurement Equipment",Semiconductors | Electronics | Automotive,"Advantec Materials India Pvt Ltd is part of a global network with a presence in India, focusing on niche markets related to semiconductor manufacturing.","Advantec Materials India Pvt Ltd provides materials and equipment for semiconductor manufacturing, including vacuum parts, deposition materials, and surface measurement equipment. The company is part of a global network and actively engages in niche markets within the semiconductor industry.",Vacuum processes | Thin-film materials | Surface measurement technologies,ok,0,gpt-4o
15,Advantest (Singapore) Pte. Ltd.,Test & Measurement,High,Automatic test and measurement equipment | Test-interface solutions for wafer sort and final test | System-level test solutions,5G communications | Internet of Things (IoT) | Autonomous vehicles | High-performance computing (HPC),Advantest to showcase latest test solutions at SEMICON India 2026.,"Advantest is a leading manufacturer of automatic test and measurement equipment crucial for semiconductor design and production. The company provides advanced test-interface solutions and system-level test solutions, serving applications in 5G, IoT, autonomous vehicles, and HPC. Advantest is committed to addressing emerging testing challenges and enhancing semiconductor production efficiency.",Automatic test equipment | Test-interface solutions | System-level testing,ok,0,gpt-4o
16,AECOM India Private Limited,Facility & Infrastructure,Low,,,,"AECOM is a global infrastructure leader with a focus on delivering large-scale projects across various industries. While their core expertise lies in infrastructure development, their direct involvement in the semiconductor value chain is minimal.",,ok,0,gpt-4o
17,Aequs SEZ Private Limited,Facility & Infrastructure,Low,Industrial and Logistics Parks | Integrated SEZs and DTAs,,Aequs Infra is a leading infrastructure developer in India with a presence across multiple industrial clusters.,"Aequs SEZ Private Limited specializes in developing industrial and logistics infrastructure, including SEZs and DTAs, primarily in India. Their facilities are designed to support various industries with ready-to-move and customizable solutions.",,ok,0,gpt-4o
18,Aeromech Equipments Private Limited,Facility & Infrastructure,Medium,Cleanroom design and construction | Cleanroom equipment manufacturing | Cleanroom validation and certification,Advanced Packaging | Test & Measurement,"Aeromech is a leading provider of cleanroom solutions in India, with extensive installations and certifications across the country.","Aeromech Equipments Private Limited specializes in providing comprehensive cleanroom solutions, including design, construction, and validation services. Their expertise in cleanroom engineering supports semiconductor manufacturing facilities by ensuring contamination control and compliance with industry standards.",Cleanroom engineering | Contamination control | Validation and certification of cleanroom environments,ok,0,gpt-4o
19,Aether Semiconductors Private Ltd,Equipment,High,Vacuum systems engineering | Plasma technologies | Precision mechanics,Logic | Memory | Advanced Packaging,"Aether builds institutionalized semiconductor equipment engineering capability in India, integrating European program requirements with Southeast Asian supply chain efficiency.","Aether Semiconductors specializes in semiconductor equipment engineering, providing full execution ownership from design through lifecycle sustainment. They focus on translating complex equipment physics into scalable architectures, with expertise in vacuum systems, plasma technologies, and precision mechanics.",Vacuum systems | Plasma technologies | Chamber engineering,ok,0,gpt-4o
20,AGC Asia Pacific (India) Pvt. Ltd.,Materials,Medium,Glass Carrier for advanced packaging | Through Glass Vias | Glass Substrate,Advanced Packaging,"AGC Asia Pacific (India) Pvt. Ltd. is the regional presence of AGC Group in India, focusing on semiconductor materials.","AGC Asia Pacific provides materials for semiconductor manufacturing, including glass carriers and substrates used in advanced packaging. Their offerings support key processes in semiconductor fabrication, particularly in the packaging segment.",Glass technology | Advanced packaging materials,ok,0,gpt-4o
21,AGEM Innovation Private Limited,Other,,,,,,,empty-input,0,gpt-4o
22,Agilent Technologies,Other,,,,,,,empty-input,0,gpt-4o
23,Agnisys Technology Pvt. Ltd,EDA/IP,High,Agentic AI framework for semiconductor design | Network-on-Chip interconnect IP generation | Silicon-proven interface IPs and bridges,AI accelerators | Automotive | Multi-core and edge platforms,"Agnisys Technology Pvt. Ltd is based in India, focusing on semiconductor design automation solutions.","Agnisys Technology Pvt. Ltd specializes in electronic design automation (EDA) tools and IP solutions for semiconductor design. Their offerings include AI-driven frameworks for specification to RTL sign-off, scalable NoC interconnect IPs, and a comprehensive suite for automated SoC development. They cater to markets such as AI, automotive, and multi-core systems.",AI-driven design automation | Network-on-Chip architectures | IP integration and verification,ok,0,gpt-4o
24,AGNIT Semiconductors Pvt Ltd,Design Services,High,GaN RF solutions | GaN power amplifiers | Epi wafers,RF/5G | Telecommunications | Defense,"AGNIT Semiconductors leverages expertise from the Indian Institute of Science, Bangalore, indicating a strong India-specific R&D presence.","AGNIT Semiconductors Pvt Ltd is a fab-lite company specializing in the design and development of Gallium Nitride (GaN) wafers, components, and modules. They focus on providing ultra-efficient GaN RF solutions and power amplifiers for strategic and telecommunication sectors, with a strong emphasis on application-specific devices.",GaN technology | High power density amplifiers | Wide bandwidth RF solutions,ok,0,gpt-4o
25,AGRU Plastic Technology Pvt Ltd,Other,"None -- AGRU primarily focuses on plastic products and piping systems, which are not central to semiconductor manufacturing.",,,,"AGRU Plastic Technology Pvt Ltd is a manufacturer and supplier of high-quality plastic pipes, fittings, and other thermoplastic products. Their offerings are primarily targeted towards infrastructure, industry, and utilities, rather than the semiconductor industry.",,ok,0,gpt-4o
26,AHEESA DIGITAL INNOVATIONS PRIVATE LIMITED,Design Services,High,RISC-V networking SoC design | Fabless semiconductor design,Networking | Automotive | Edge Computing,"Aheesa Digital Innovations is focused on indigenous silicon design in India, supported by the MeitY Design-Linked Incentive scheme.","Aheesa Digital Innovations Private Limited is a fabless semiconductor design house in India, specializing in RISC-V networking SoC platforms. Their products are aimed at reducing dependence on imported telecom silicon and strengthening national technology capabilities.",RISC-V processor architecture | Networking SoC design,ok,0,gpt-4o
27,Aimil Ltd,Equipment,Medium,Contamination Monitoring for Semiconductors | Plasma Etch and Deposition Systems,Semiconductor Manufacturing,"Aimil Ltd. has a strong presence in India with an extensive network of 16 offices and over 1000 professionals, focusing on delivering advanced technology solutions to the Indian market.","Aimil Ltd. is a prominent player in the instrumentation industry, providing advanced equipment and solutions for semiconductor manufacturing, including contamination monitoring and plasma processing systems. The company leverages partnerships with international firms to bring state-of-the-art technology to the Indian semiconductor market.",Contamination Control | Plasma Processing,ok,0,gpt-4o
28,Air Liquide India Holding Pvt Ltd,Other,,,,,,,empty-input,0,gpt-4o
29,Air Water India Pvt Ltd,Other,"None -- with a 1-liner reason only, how central is semiconductors to this company's business",,,,"Air Water India Pvt Ltd appears to be involved in diverse business activities, but there is no specific information indicating a focus on the semiconductor industry.",,ok,0,gpt-4o
30,AirLife Gases Pvt. Ltd,Other,,,,,,,empty-input,0,gpt-4o
31,AIRTECH SYSTEMS INDIA PVT LTD,Facility & Infrastructure,Low,Turnkey cleanroom solutions | Cleanroom design and construction | Cleanroom validation and maintenance,Pharmaceutical | Biotech | Healthcare,"Airtech Systems India provides cleanroom solutions with a focus on the pharmaceutical, biotech, and healthcare sectors in India.","Airtech Systems India specializes in providing comprehensive turnkey cleanroom solutions, primarily for the pharmaceutical, biotech, and healthcare industries. Their offerings include design, construction, validation, and maintenance of cleanroom environments, adhering to high regulatory standards.",Cleanroom technology | cGMP compliance,ok,0,gpt-4o
32,Akribis Systems Pte Ltd,Equipment,High,Direct Drive Motors | Precision Motion Stages | E-Beam Defect Inspection Support,Semiconductor Manufacturing | Inspection and Testing,,"Akribis Systems Pte Ltd specializes in the design and manufacturing of direct-drive precision motion solutions, including linear motors, torque motors, and precision motion stages. Their products are integral to equipment used in semiconductor manufacturing, inspection, and testing, providing high precision and flexibility.",Direct Drive Technology | Precision Motion Control,ok,0,gpt-4o
33,Akros Trading India Pvt Ltd,Other,None,,,,"Akros Trading India Pvt Ltd, through its association with YK Across Co., Ltd., is involved in expanding business operations leveraging the expertise of its merged entities. However, there is no specific information indicating a direct role in the semiconductor value chain.",,ok,0,gpt-4o
